market_name,source_file,declared_effectif,declared_cmu,declared_cnps,declared_rsti,rows_in_file,unique_identifier_codes
PACA,la liste des cartes du vivriers PACA (1).pdf,,,,,597,514
BISSATA,la liste des cartes du vivriers marchande BISSATA.pdf,132.0,38.0,0.0,,132,132
COVIYOP,LISTE DES CARTES COVIYOP.pdf,,,,,37,36
CO.MAR.VISCOOP,la liste des cartes du vivriers CO.MAR.VISCOO.pdf,23.0,1.0,0.0,,23,23
UNICOVIA,la liste des cartes du vivriers UNICOVIA.pdf,,,,,119,106
COOFEPALME,la liste des cartes du vivriers COOFEPALME.pdf,107.0,2.0,0.0,,107,107
COCOVICO,la liste des cartes du vivriers marchande COCOVICO.pdf,180.0,4.0,,1.0,180,175
SION,la liste des cartes du vivriers SION.pdf,,,,,102,85
